2024-03-19 15:57:18.338 | INPUT  | DEBUG    | list 
2024-03-19 15:57:18.389 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:18.391 | OUTPUT | DEBUG    | Address: 0x26 
2024-03-19 15:57:18.393 | OUTPUT | DEBUG    | Packet size: 33 
2024-03-19 15:57:18.396 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:18.408 | OUTPUT | DEBUG    | 0680312a5047ce7c145d3ae8034737e46d638a0c596d26fee7e91edcd76cfde957 
2024-03-19 15:57:18.409 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:18.410 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:18.419 | OUTPUT | DEBUG    | 0680312a5047ce7c145d3ae8034737e46d638a0c596d26fee7e91edcd76cfde957 
2024-03-19 15:57:18.420 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:18.424 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:18.426 | OUTPUT | DEBUG    | Component Address: 0x26 
2024-03-19 15:57:18.428 | OUTPUT | DEBUG    | Length: 33 
2024-03-19 15:57:18.432 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:18.434 | OUTPUT | DEBUG    | value: 33 
2024-03-19 15:57:18.436 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:18.438 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:18.444 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:18.445 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:18.446 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:18.449 | OUTPUT | ERROR    | Could not send AP public key to component 
