2024-03-19 15:57:55.012 | INPUT  | DEBUG    | list 
2024-03-19 15:57:55.062 | OUTPUT | DEBUG    | ISSUE_CMD: send_packet 
2024-03-19 15:57:55.064 | OUTPUT | DEBUG    | Address: 0x24 
2024-03-19 15:57:55.066 | OUTPUT | DEBUG    | Packet size: 33 
2024-03-19 15:57:55.069 | OUTPUT | DEBUG    | Transmit buffer raw data: 
2024-03-19 15:57:55.078 | OUTPUT | DEBUG    | 0680312a5047ce7c145d3ae8034737e46d638a0c596d26fee7e91edcd76cfde957 
2024-03-19 15:57:55.080 | OUTPUT | DEBUG    | REACHED BOARD_LINK 
2024-03-19 15:57:55.083 | OUTPUT | DEBUG    | PACKET TO SEND TO COMPONENT: 
2024-03-19 15:57:55.091 | OUTPUT | DEBUG    | 0680312a5047ce7c145d3ae8034737e46d638a0c596d26fee7e91edcd76cfde957 
2024-03-19 15:57:55.093 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.097 | OUTPUT | DEBUG    | REACHED i2c_simple_write_receive_len 
2024-03-19 15:57:55.100 | OUTPUT | DEBUG    | Component Address: 0x24 
2024-03-19 15:57:55.102 | OUTPUT | DEBUG    | Length: 33 
2024-03-19 15:57:55.106 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
2024-03-19 15:57:55.107 | OUTPUT | DEBUG    | value: 33 
2024-03-19 15:57:55.109 | OUTPUT | DEBUG    | REACHED POINT A 
2024-03-19 15:57:55.111 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.114 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.116 | OUTPUT | DEBUG    | REACHED POINT D 
2024-03-19 15:57:55.118 | OUTPUT | DEBUG    | REACHED POINT E 
2024-03-19 15:57:55.120 | OUTPUT | DEBUG    | REACHED POINT B 
2024-03-19 15:57:55.125 | OUTPUT | DEBUG    | REACHED POINT C 
2024-03-19 15:57:55.129 | OUTPUT | DEBUG    | REACHED i2c_simple_write_status_generic 
